model,description,A_opt,chi2,mean_ratio,scatter,corr_lambda,p_corr
sqrt_rho_Sigma,ρ_dm ∝ √(ρ_bar·Σ_bar),100.0,1648.9685225764172,39.58892555960323,12.643707792092368,0.05006515287954623,0.5142594619986525
sqrt_Sigma,ρ_dm ∝ √Σ_bar,100.0,13.637084382785003,4.411391095248601,1.4140350695946504,-0.10681590617796118,0.16311964412046587
Sigma,ρ_dm ∝ Σ_bar,100.0,160168.29684030733,381.9951074610607,122.51948796433227,0.0964173240017862,0.20831424785142044
Sigma_over_r,ρ_dm ∝ Σ_bar / R,100.0,62.08083194784218,8.408683265962916,2.681835977923192,0.0041866856689951396,0.9565306541060233
