ID,Z_LAMBDA,LAMBDA,Mbar,Mdm,R200_kpc,sigma_v_obs,sigma_v_gpf,ratio,n_members
5,0.1704999953508377,174.6999969482422,174699996948242.2,19143026309161.45,177.20081925273138,1813.7693787882258,1252.308330858805,0.6904451831111343,19
6,0.2317000031471252,189.17999267578125,189179992675781.25,21400593901718.2,185.8724868645289,1886.3165969284557,1274.44370315274,0.6756255578877659,13
11,0.127700001001358,131.5800018310547,131580001831054.69,12872603227918.227,149.48716989147783,1531.057202695442,1177.0089746330875,0.7687557150451017,28
25,0.1714999973773956,73.37000274658203,73370002746582.03,5682330492658.328,105.29338996167326,1464.298088042237,1037.4706929310842,0.7085105836054051,11
26,0.1380999982357025,103.0199966430664,103019996643066.4,9138831791355.395,129.0752294756028,4276.617603497114,1116.1288249008442,0.2609840131575368,27
27,0.3831999897956848,185.3800048828125,185380004882812.5,20801209346261.54,183.62327144650328,2924.1366455920397,1268.7607391953309,0.4338924246607666,10
32,0.1378999948501587,105.12999725341795,105129997253417.95,9401948200833.068,130.65498331996602,2387.7310060428917,1121.0355229233296,0.4694982475355065,38
37,0.2946000099182129,155.1300048828125,155130004882812.5,16209688475765.383,165.00893857431768,7912.0052246828745,1220.0968402593076,0.15420829557253116,14
43,0.257099986076355,134.27999877929688,134279998779296.88,13243915462583.705,151.32015733167285,2754.938529547595,1182.2297026983829,0.4291310640940232,10
49,0.1360000073909759,92.11000061035156,92110000610351.56,7813219748596.303,120.69077000778411,1049.287790830043,1089.4698777387184,1.0382946292331194,29
55,0.1191999986767768,99.8000030517578,99800003051757.8,8741446748354.373,126.63924705712415,2217.186628556775,1108.4923348183092,0.49995445603956945,44
68,0.300599992275238,126.33000183105467,126330001831054.67,12159329945247.508,145.87937314638796,3216.9764685709265,1166.622265167046,0.36264557001416087,11
72,0.1582999974489212,81.23999786376953,81239997863769.53,6553576970447.324,111.93139824151562,1504.612920201507,1060.4115446691744,0.7047736533640543,11
78,0.1597999930381775,91.81999969482422,91819999694824.22,7778802437954.902,120.46263513501637,921.5277514021851,1088.72933073895,1.1814395487084932,10
